comparison,metric,mean,ci95,lower95,upper95,better_seeds,n,split
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,dominant_failure_accuracy,0.5819444444444445,0.06898832988624835,0.5129561145581961,0.6509327743306929,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,top2_failure_recall,0.5069444444444444,0.10855281857436479,0.39839162587007965,0.6154972630188092,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,calibration_error,0.11908045514183298,0.07084386052031265,0.04823659462152033,0.18992431566214563,8,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,early_warning_lead_time,0.4621645555555557,0.012725657766019263,0.44943889778953644,0.47489021332157494,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,cross_morphology_generalization_gap,-0.15577866666666662,0.0,-0.15577866666666662,-0.15577866666666662,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,morphology_shift_detection,0.32638146250251204,0.007699642464396174,0.31868182003811585,0.33408110496690824,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,failure_family_f1,0.4487860182880024,0.07692122199234999,0.3718647962956524,0.5257072402803524,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,task_success,0.15173611111111113,0.10574338399514578,0.045992727115965346,0.2574794951062569,8,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,dominant_failure_rate,-0.296875,0.12100478514909258,-0.4178797851490926,-0.17587021485090742,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,safety_violation_rate,-0.12881944444444446,0.11460599560778835,-0.24342544005223282,-0.014213448836656109,2,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,intervention_cost,0.010805469575,0.003639993522638077,0.0071654760523619234,0.014445463097638077,10,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,unnecessary_intervention_rate,-0.0006944444444444444,0.0016976038143696585,-0.002392048258814103,0.0010031593699252142,1,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,planning_regret_to_oracle,-0.16819535686488066,0.036434860408670604,-0.20463021727355127,-0.13176049645621005,0,10,actuator_degradation_shift
cost_calibrated_failure_predictive_morphology_v5_minus_generic_failure_classifier,robust_utility,0.6264302875988811,0.2746883090896297,0.3517419785092514,0.9011185966885108,9,10,actuator_degradation_shift
